Section,Question No.,Time Complexity,Space Complexity,Premium,Tags,Notes
Dynamic Programming,2597,O(n),O(n),,"Combinatorics, DP",
Dynamic Programming,2638,O(n),O(n),"ðŸ”’, variant of [The Number of Beautiful Subsets](https://leetcode.com/problems/the-number-of-beautiful-subsets/)","Combinatorics, DP",The Number of Beautiful Subsets
Dynamic Programming,2646,O(t * n),O(n),,"DFS, Tree DP",
Dynamic Programming,2681,O(nlogn),O(1),,"Sort, Combinatorics, DP",
Dynamic Programming,2684,O(m * n),O(m),,"DP, BFS",
Dynamic Programming,2707,O(n * l),O(n + t),,"DP, Trie",
Dynamic Programming,2713,O(m * n * log(m * n)),O(m * n),,"Sort, DP",
Dynamic Programming,2719,O(m * n),O(m + n),,"Combinatorics, DP",
Dynamic Programming,2742,O(n^2),O(n),,Knapsack DP,
Dynamic Programming,2746,O(n),O(1),,DP,
Dynamic Programming,2767,O(n^2),O(n),,DP,
Dynamic Programming,2770,O(n^2),O(n),,DP,
Dynamic Programming,2771,O(n),O(1),,DP,
Dynamic Programming,2786,O(n),O(1),,DP,
Dynamic Programming,2787,O(nlogn),O(n),,Knapsack DP,
Dynamic Programming,2801,O(n),O(1),,DP,
Dynamic Programming,2809,O(n^2),O(n),,"Sort, Greedy, DP, Linear Search",
Dynamic Programming,2826,O(n),O(1),,DP,
Dynamic Programming,2827,O(n^2 * k),O(n * k),,"DP, Memoization",
Dynamic Programming,2830,O(n + m),O(n + m),,DP,
Greedy,2027,O(n),O(1),,,
Greedy,2030,O(n),O(n),,"Mono Stack, Greedy",
Greedy,2036,O(n),O(1),"variant of [Maximum Alternating Subsequence Sum](https://leetcode.com/problems/maximum-alternating-subsequence-sum/), ðŸ”’","Greedy, `Kadane's Algorithm`",Maximum Alternating Subsequence Sum
Greedy,2037,O(nlogn),O(1),,Greedy,
Greedy,2071,O(n * (logn)^2),O(n),,"Greedy, Binary Search, Sorted List",
Greedy,2086,O(n),O(1),,Greedy,
Greedy,2087,O(m + n),O(1),,Greedy,
Greedy,2126,O(nlogn),O(1),,Greedy,
Greedy,2136,O(nlogn),O(n),,Greedy,
Greedy,2139,O(logn),O(1),,,
Greedy,2141,O(nlogm),O(1),,"Greedy, Binary Search",
Greedy,2144,O(nlogn),O(1),,"Greedy, Sort",
Greedy,2147,O(n),O(1),,"Greedy, Combinatorics",
Greedy,2160,O(1),O(1),,Greedy,
Greedy,2165,O(d),O(d),,"Greedy, Counting Sort",
Greedy,2178,O(sqrt(n)),O(1),,Greedy,
Greedy,2182,O(n),O(1),,Greedy,
Greedy,2193,O(nlogn),O(n),,"Greedy, BIT, Fenwick Tree",
Greedy,2195,O(nlogn),O(n),,Greedy,
Greedy,2207,O(n),O(1),,"Counting, Greedy",
Greedy,2214,O(n),O(1),ðŸ”’,Greedy,
Greedy,2216,O(n),O(1),,Greedy,
Greedy,2224,O(1),O(1),,Greedy,
Greedy,2259,O(n),O(1),,Greedy,
Greedy,2263,O(nlogn),O(n),ðŸ”’,"DP, Greedy, Heap",
Greedy,2268,O(n),O(1),ðŸ”’,"Greedy, Sort",
Greedy,2279,O(nlogn),O(1),,"Greedy, Sort",
Greedy,2285,O(n),O(n),,"Greedy, Counting Sort",
Greedy,2294,O(nlogn),O(1),,Greedy,
Greedy,2311,O(n),O(1),,Greedy,
Greedy,2321,O(n),O(1),,"Greedy, `Kadane's Algorithm`",
Greedy,2323,O(nlogn),O(1),ðŸ”’,Greedy,
Greedy,2340,O(n),O(1),ðŸ”’,"Array, Greedy",
Greedy,2366,O(n),O(1),,"Greedy, Math",
Greedy,2371,O((m * n) * log(m * n)),O(m * n),ðŸ”’,"Sort, Greedy",
Greedy,2375,O(n),O(1),,"Constructive Algorithms, Greedy",
Greedy,2383,O(n),O(1),,Greedy,
Greedy,2384,O(n),O(1),,"Freq Table, Greedy",
Greedy,2405,O(n),O(n),,"Greedy, Hash Table",
Greedy,2410,O(nlogn + mlogm),O(1),,"Greedy, Sort",
Greedy,2412,O(n),O(1),,"Greedy, Constructive Algorithms",
Greedy,2417,O(logn),O(logn),ðŸ”’,"Constructive Algorithms, Greedy",
Greedy,2422,O(n),O(1),ðŸ”’,"Constructive Algorithms, Greedy, Two Pointers",
Greedy,2434,O(n),O(n),,"Freq Table, Greedy",
Greedy,2436,O(nlogr),O(1),ðŸ”’,Greedy,
Greedy,2439,O(n),O(1),,Greedy,
Greedy,2440,O(n * sqrt(n)),O(n),,"BFS, DFS, Greedy",
Greedy,2449,O(nlogn),O(1),,"Greedy, Sort",
Greedy,2457,O(logn),O(1),,Greedy,
Greedy,2459,O(n),O(n),ðŸ”’,"Greedy, Sort",
Greedy,2472,O(n * k),O(1),,"Two Pointers, Greedy",
Greedy,2479,O(nlogr),O(n),"ðŸ”’, variant of [Maximum XOR of Two Numbers in an Array](https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/)","DFS, Trie, Greedy",Maximum XOR of Two Numbers in an Array
Greedy,2483,O(n),O(1),,Greedy,
Greedy,2486,O(n),O(1),,"Two Pointers, Greedy",
Greedy,2498,O(n),O(1),,Greedy,
Greedy,2499,O(n),O(n),,Greedy,
Greedy,2522,O(n),O(1),,Greedy,
Greedy,2541,O(n),O(1),,Greedy,
Greedy,2542,O(nlogn),O(n),,"Greedy, Heap",variant of [Maximum Performance of a Team](https://leetcode.com/problems/maximum-performance-of-a-team/)
Greedy,2548,O(nlogn),O(1),ðŸ”’,"Greedy, Sort",
Greedy,2551,O(n) on average,O(1),,"Greedy, Quick Select",
Greedy,2561,O(n) on average,O(n),,"Freq Table, Greedy, Quick Select",
Greedy,2566,O(logn),O(1),,Greedy,
Greedy,2567,O(nlogn),O(1),,"Sort, Greedy",
Greedy,2571,O(logn),O(1),,"Greedy, Trick",
Greedy,2573,O(n^2),O(1),,"Constructive Algorithms, Greedy, DP",
Greedy,2576,O(nlogn),O(1),,"Sort, Greedy, Two Pointers",
Greedy,2578,O(mlogm),O(m),,"Sort, Greedy",
Greedy,2587,O(nlogn),O(1),,"Sort, Greedy",
Greedy,2589,O(nlogn + n * r),O(r),,"Sort, Greedy",
Greedy,2591,O(1),O(1),,"Greedy, Math",
Greedy,2599,O(nlogn),O(n),ðŸ”’,"Prefix Sum, Greedy, Heap",
Greedy,2600,O(1),O(1),,"Greedy, Math",
Greedy,2601,O(p + nlogp),O(p),,"Number Theory, Greedy, Binary Search",
Greedy,2604,O(mlogm + nlogn + (m + n) * logr),O(1),ðŸ”’,"Binary Search, Greedy",
Greedy,2606,O(n),O(1),,"Greedy, `Kadane's Algorithm`",
Greedy,2607,O(n),O(n),,"Math, Greedy, Quick Select",
Greedy,2611,O(n),O(1),,"Greedy, Quick Select",
Greedy,2645,O(n),O(1),,Greedy,
Greedy,2663,O(n),O(1),,Greedy,
Greedy,2673,O(n),O(1),,"Tree, Greedy",
Greedy,2680,O(n),O(n),,"Prefix Sum, Greedy",
Greedy,2697,O(n),O(1),,Greedy,
Greedy,2706,O(n),O(1),,Greedy,
Greedy,2708,O(n),O(1),,Greedy,
Greedy,2712,O(n),O(1),,Greedy,
Greedy,2734,O(n),O(1),,Greedy,
Greedy,2769,O(1),O(1),,"Greedy, Math",
Greedy,2772,O(n),O(1),,"Greedy, Sliding Window",
Greedy,2789,O(n),O(1),,Greedy,
Greedy,2790,O(n),O(n),,"Constructive Algorithms, Counting Sort, Greedy, Binary Search, Prefix Sum",
Greedy,2813,O(nlogk),O(k),,"Partial Sort, Heap, Quick Select, BST, Sorted List, Greedy",
Greedy,2819,O((n + q) * logn),O(n),ðŸ”’,"Sort, Binary Search, Greedy, Prefix Sum",
Greedy,2825,O(n),O(1),,"Greedy, Two Pointers",
Greedy,2835,O(n),O(logn),,"Counting Sort, Sort, Heap, Greedy, Bitmasks",[Educational Codeforces Round #82 D](https://codeforces.com/problemset/problem/1303/D)
Graph,2076,O(n * r),O(n),,Union Find,
Graph,2077,O(\,V\,,E\,_O(\
Graph,2092,O(nlogn),O(nlogn),,"BFS, DFS, Union Find",
Graph,2093,O(\,E\,,)_,V\
Graph,2097,O(\,V\,,)_,E\
Graph,2123,O(m * n * sqrt(m * n)),O(m + n),"variant of [Maximum Students Taking Exam](https://leetcode.com/problems/maximum-students-taking-exam/), ðŸ”’","`Hopcroft-Karp Bipartite Matching`, Maximum Independent Set",Maximum Students Taking Exam
Graph,2127,O(n),O(n),,,
Graph,2172,O(n^3),O(n^2),,"DP, `Hungarian Weighted Bipartite Matching`",variant of [Maximum Compatibility Score Sum](https://leetcode.com/problems/maximum-compatibility-score-sum/)
Graph,2203,O(\,E\,,)_,V\
Graph,2204,O(\,V\,,)_,E\
Graph,2242,O(\,V\,,)_,E\
Graph,2307,O(e + q),O(n),"ðŸ”’, variant of [Evaluate Division](https://leetcode.com/problems/evaluate-division/)","DFS, Union Find",Evaluate Division
Graph,2359,O(n),O(n),,"Graph, Hash Table, DFS",
Graph,2360,O(n),O(n),,"Graph, Hash Table, DFS",
Graph,2392,O(k^2 + r + c),O(k + r + c),,"Graph, Topological Sort",
Graph,2473,O(n * rlogn),O(n),ðŸ”’,`Dijkstra's Algorithm`,
Graph,2508,O(n),O(n),,Graph,
Graph,2608,O(n^2),O(n + e),,"Graph, BFS",
Graph,2662,O(n^2),O(n^2),,"Graph, `Dijkstra's Algorithm`",
Graph,2699,O(\,E\,,)_,V\
Graph,2714,O(n * k + (k * e) * log(n * k)),O(n * k + e),ðŸ”’,"Graph, `Dijkstra's Algorithm`",
Graph,2737,O(\,E\,,)_,V\
Graph,2836,O(n),O(n),,"Graph, Prefix Sum, Two Pointers, Sliding Window, Binary Lifting",
Geometry,2101,O(\,V\,,E\,* \
Simulation,2061,O(m * n),O(1),ðŸ”’,,
Simulation,2162,O(1),O(1),,,
Simulation,2257,O(m * n),O(m * n),,"Array, Simulation",
Simulation,2303,O(n),O(1),,Simulation,
Simulation,2507,O(s * logn),O(maxn^0.5),,"Number Theory, Simulation",
Simulation,2532,O(k + nlogk),O(k),,"Heap, Simulation",
Simulation,2534,O(n),O(n),ðŸ”’,"Queue, Simulation",
Simulation,2593,O(nlogn),O(n),,"Simulation, Sort, Hash Table",
Simulation,2596,O(m * n),O(m * n),,"Simulation, Hash Table",
Simulation,2682,O(n),O(n),,"Hash Table, Simulation",
Simulation,2751,O(nlogn),O(n),,"Sort, Simulation, Stack",
Constructive Algorithms,2202,"O(min(n, k))",O(1),,Constructive Algorithms,
Constructive Algorithms,2335,O(1),O(1),,"Math, Constructive Algorithms",
Constructive Algorithms,2350,O(n),O(k),,Constructive Algorithms,
Constructive Algorithms,2546,O(n),O(1),,Constructive Algorithms,
Constructive Algorithms,2358,O(1),O(1),,"Constructive Algorithms, Math",
Constructive Algorithms,2610,O(n),O(n),,"Freq Table, Constructive Algorithms",
Constructive Algorithms,2647,O(n^2),O(1),ðŸ”’,Constructive Algorithms,
Constructive Algorithms,2654,O(n^2),O(1),,"Math, Number Theory, Constructive Algorithms",
Constructive Algorithms,2728,O(k),O(1),ðŸ”’,Constructive Algorithms,
Constructive Algorithms,2732,O(m * 2^n),O(2^n),,"Bitmasks, Constructive Algorithms, Greedy",
Constructive Algorithms,2745,O(1),O(1),,"Constructive Algorithms, Math",
Constructive Algorithms,2753,O(k),O(1),ðŸ”’,Constructive Algorithms,
Constructive Algorithms,2811,O(n),O(1),,Constructive Algorithms,
Constructive Algorithms,2829,O(1),O(1),,"Greedy, Constructive Algorithms, Math",
Constructive Algorithms,2834,O(1),O(1),,"Greedy, Constructive Algorithms, Math",[Determine the Minimum Sum of a k-avoiding Array](https://leetcode.com/problems/determine-the-minimum-sum-of-a-k-avoiding-array/)
Design,2013,ctor: O(1)<br>add: O(1)<br>count: O(n),O(n),,,
Design,2034,ctor: O(1)<br>update: O(logn)<br>current: O(1)<br>max: O(1)<br>min: O(1),O(n),,"Sorted List, Heap",
Design,2043,ctor: O(1)<br>transer: O(1)<br>deposit: O(1)<br>withdraw: O(1),O(1),,,
Design,2069,O(1),O(1),,"Simulation, Math",
Design,2080,ctor: O(n)<br>query: O(logn),O(n),,Binary Search,
Design,2102,add: O(logn)<br>get: O(logn),O(n),,Sorted List,
Design,2166,ctor: O(n)<br>fix: O(1)<br>fix: O(1)<br>unfix: O(1)<br>flip: O(1)<br>all: O(1)<br>one: O(1)<br>count: O(1)<br>toString: O(n),O(n),,,
Design,2227,ctor: O(m + d)<br>encrypt: O(n)<br>decrypt: O(n),O(n),,Freq Table,
Design,2241,ctor: O(1)<br>deposit: O(1)<br>withdraw: O(1),O(1),,Greedy,
Design,2254,ctor: O(1)<br>upload: O(logn + l)<br>remove: O(logn)<br>like: O(1)<br>dislike: O(1)<br>view: O(1)<br>getLikesAndDislikes: O(1)<br>getViews: O(1),O(n * l),ðŸ”’,Heap,
Design,2276,"ctor: O(1)<br>add: O(logn), amortized<br>Count: O(1)",O(n),,Sorted List,
Design,2286,"ctor: O(n)<br>gather: O(logn)<br>scatter: O(logn), amortized",O(n),,"Segment Tree, Binary Search",
Design,2296,ctor: O(1)<br>addText: O(l)<br>deleteText: O(k)<br>cursorLeft: O(k)<br>cursorRight: O(k),O(n),,Stack,
Design,2336,ctor: O(1)<br>popSmallest: O(logn)<br>addBack: O(logn),O(n),,"Heap, BST",
Design,2349,ctor: O(1)<br>change: O(logn)<br>find: O(1),O(n),,"Sorted List, BST",
Design,2353,ctor: O(nlogn)<br>changeRating: O(logn)<br>highestRated: O(1),O(n),,"Sorted List, BST",
Design,2408,ctor: O(t * maxm)<br>insertRow: O(m)<br>deleteRow: O(1)<br>selectCell: O(m),O(d),ðŸ”’,Hash Table,
Design,2424,"ctor: O(1)<br>upload: O(1), amortized <br>longest: O(1)",O(n),,Hash Table,
Design,2502,ctor: O(1)<br>allocate: O(logn)<br>free: O(logn),O(n),,Sorted List,
Design,2526,O(1),O(1),,Array,
Design,2590,ctor: O(1)<br>addTask: O(l + logn)<br>getAllTasks: O(r)<br>getTasksForTag: O(r * c)<br>completeTask: O(l + logn),O(n * l),ðŸ”’,"BST, Sorted List",
Design,2642,ctor: O(\,V\,,)_<br>addEdge: _O(1)_<br>shortestPath: _O(\,E\
Design,2671,ctor: O(1)<br>add: O(1)<br>deleteOne: O(1)<br>hasFrequency: O(1),"O(min(n, r))",,Freq Table,
JS,2618,O(n),O(1),,,
JS,2619,O(1),O(1),,,
JS,2620,O(1),O(1),,,
JS,2621,O(1),O(1),,Promise,
JS,2622,O(1),O(1),,Hash Table,
JS,2623,O(1),O(1),,Hash Table,
JS,2624,O(m * n),O(1),,,
JS,2625,O(n),O(h),,DFS,
JS,2626,O(n),O(1),,,
JS,2627,O(1),O(1),,,
JS,2628,O(n),O(h),,DFS,
JS,2629,O(n),O(1),,,
JS,2630,O(n),O(t),,Trie,
JS,2631,O(n),O(1),,,
JS,2632,O(n),O(n),,,
JS,2633,O(n),O(h),,DFS,
JS,2634,O(n),O(1),,,
JS,2635,O(n),O(1),,,
JS,2636,O(c + n / c),O(c),,Promise,
JS,2637,O(n),O(1),,Promise,
JS,2648,O(1),O(1),,DP,
JS,2649,O(1),O(d),,DFS,
JS,2650,O(1),O(1),,Promise,
JS,2665,ctor: O(1)<br>increment: O(1)<br>decrement: O(1)<br>reset: O(1),O(1),,,
JS,2666,O(1),O(1),,,
JS,2667,O(1),O(1),,,
JS,2675,O(l * mlogm + m * n),O(l * m + m * n),,DFS,
JS,2676,O(1),O(1),,,
JS,2677,O(n),O(1),,,
JS,2690,O(1),O(1),ðŸ”’,Proxy,
JS,2691,O(1),O(1),ðŸ”’,Proxy,
JS,2692,O(1),O(1),ðŸ”’,Proxy,
JS,2693,O(1),O(1),,Symbol,
JS,2694,subscribe: O(1)<br>unsubscribe: O(1)<br>emit: O(n),O(n),,Ordered Set,
JS,2695,valueOf: O(n)<br>toString: O(n),O(1),,,
JS,2700,O(n),O(h),,DFS,
JS,2703,O(1),O(1),,,
JS,2704,O(1),O(1),,,
JS,2705,O(n),O(h),,DFS,
JS,2715,O(1),O(1),,,
JS,2721,O(n),O(n),,Promise,
JS,2722,O(mlogm + nlogn),O(1),,"Sort, Two Pointers",
JS,2723,O(1),O(1),,Promise,
JS,2724,O(nlogn),O(1),,Sort,
JS,2725,O(1),O(1),,,
JS,2726,O(1),O(1),,,
JS,2727,O(1),O(1),,,
JS,2754,O(1),O(1),ðŸ”’,Symbol,
JS,2755,O(n + m),O(h),ðŸ”’,DFS,
JS,2756,O(n),O(n),ðŸ”’,,
JS,2757,O(1),O(1),ðŸ”’,Generator,
JS,2758,O(1),O(1),ðŸ”’,,
JS,2759,O(n),O(h),ðŸ”’,Stack,
JS,2774,O(logn),O(1),ðŸ”’,Binary Search,
JS,2775,O(n),O(h),ðŸ”’,DFS,
JS,2776,O(1),O(1),ðŸ”’,Promise,
JS,2777,O(1),O(1),ðŸ”’,Generator,
JS,2794,O(n),O(1),ðŸ”’,,
JS,2795,O(n),O(n),ðŸ”’,Promise,
JS,2796,O(n * t),O(n * t),ðŸ”’,String,
JS,2797,O(n),O(n),ðŸ”’,,
JS,2803,O(n),O(1),ðŸ”’,Generator,
JS,2804,O(n),O(1),ðŸ”’,Symbol,
JS,2805,O(1),O(1),ðŸ”’,,
JS,2821,O(1),O(1),ðŸ”’,Promise,
JS,2822,O(n),O(1),ðŸ”’,,
JS,2823,O(n),O(h),ðŸ”’,DFS,
SQL,2004,O(nlogn),O(n),ðŸ”’,,
SQL,2010,O(nlogn),O(n),ðŸ”’,,
SQL,2020,O(m + n),O(m + n),ðŸ”’,,
SQL,2026,O(nlogn),O(n),ðŸ”’,,
SQL,2041,O(m + n),O(m + n),ðŸ”’,,
SQL,2051,O(m + n),O(m + n),ðŸ”’,,
SQL,2066,O(nlogn),O(n),ðŸ”’,,
SQL,2072,O(n),O(n),ðŸ”’,,
SQL,2082,O(n),O(n),ðŸ”’,,
SQL,2084,O(nlogn),O(n),ðŸ”’,,
SQL,2112,O(n),O(n),ðŸ”’,,
SQL,2118,O(nlogn),O(n),ðŸ”’,,
SQL,2142,O(p * b + blogb),O(p * b),ðŸ”’,,
SQL,2153,O(p * b + blogb),O(p * b),ðŸ”’,,
SQL,2159,O(nlogn),O(n),ðŸ”’,,
SQL,2173,O(nlogn),O(n),ðŸ”’,,
SQL,2175,O(nlogn),O(n),ðŸ”’,,
SQL,2199,O(n * mlogm),O(n * m),ðŸ”’,,
SQL,2205,O(n),O(n),ðŸ”’,,
SQL,2228,O(nlogn),O(n),ðŸ”’,,
SQL,2230,O(nlogn),O(n),ðŸ”’,,
SQL,2238,O(n),O(n),ðŸ”’,,
SQL,2252,O(n * m),O(n * m),ðŸ”’,,
SQL,2253,O(n * m),O(n * m),ðŸ”’,,
SQL,2292,O(nlogn),O(n),ðŸ”’,,
SQL,2298,O(n),O(n),ðŸ”’,,
SQL,2308,O(nlogn),O(n),ðŸ”’,,
SQL,2314,O(nlogn),O(n),ðŸ”’,,
SQL,2324,O(nlogn),O(n),ðŸ”’,,
SQL,2329,O(nlogn),O(n),ðŸ”’,,
SQL,2339,O(n^2),O(n^2),ðŸ”’,,
SQL,2346,O(nlogn),O(n),ðŸ”’,,
SQL,2356,O(n),O(n),ðŸ”’,,
SQL,2362,O(m + nlogn),O(n + m),ðŸ”’,,
SQL,2372,O(sp + c + s),O(sp + c + s),ðŸ”’,,
SQL,2377,O(nlogn),O(n),ðŸ”’,,
SQL,2388,O(nlogn),O(n),ðŸ”’,,
SQL,2394,O(n),O(n),ðŸ”’,,
SQL,2474,O(n),O(n),ðŸ”’,,
SQL,2480,O(n^2),O(n),ðŸ”’,,
SQL,2494,O(nlogn),O(n),ðŸ”’,,
SQL,2504,O(nlogn),O(n),ðŸ”’,,
SQL,2668,O(nlogn),O(n),ðŸ”’,,
SQL,2669,O(nlogn),O(n),ðŸ”’,,
SQL,2686,O(nlogn),O(n),ðŸ”’,,
SQL,2687,O(nlogn),O(n),ðŸ”’,,
SQL,2688,O(nlogn),O(n),ðŸ”’,,
SQL,2701,O(nlogn),O(n),ðŸ”’,,
SQL,2720,O(n^2),O(n^2),ðŸ”’,,
SQL,2738,O(n),O(n),ðŸ”’,,
SQL,2752,O(nlogn),O(n),ðŸ”’,,
SQL,2783,O(n * m + nlogn),O(n * m),ðŸ”’,,
SQL,2793,O(nlogn + m),O(n + m),ðŸ”’,,
SQL,2820,O(nlogn),O(n),ðŸ”’,,
